Fuel Type Code,Station_Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code
ELEC,EDISONPARKFAST,451 Ninth Ave,LOC #250 #2,New York,NY,10018,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,200-9,40.7546106,-73.9959708,01.02.2019,36945,2019-02-01 10:04:02 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,EDISONPARKFAST,50 W 44th St,"LOC #100 LEVEL3; Located in basement level of Hippodrome Garage, Edison ParkFast",New York,NY,10036,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,200-8,40.7558587,-73.9824966,01.02.2019,38981,2019-02-01 10:04:02 UTC,,,,,,,,,CHADEMO,US,,,,Public,,public,,
ELEC,Roosevelt Hospital Garage,515 W 59th St,,New York,NY,10019,,212-957-3692,E,,Public,24 hours daily; pay lot,,,,,1,1,,,,,200-8,40.77079,-73.988508,05.06.2018,43745,2019-01-17 00:33:46 UTC,P,,,15.06.2011,,,,,J1772 NEMA515,US,,,,Public,,public,,
ELEC,FedEx,130 Leroy St,,New York,NY,10014,,,E,,Private,,,,,,,10,,,,,GPS,40.7303419,-74.0082654,10.01.2019,46415,2019-01-17 00:33:46 UTC,P,,,22.12.2011,,,,,J1772,US,,,,Privé,,private,,
ELEC,CARCHARGING,1114 6th Ave,ICON 1114 6TH; See Valet attendant for use.,New York,NY,10036,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.7552452,-73.9834061,01.02.2019,48048,2019-02-01 10:04:02 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
ELEC,CARCHARGING,500 W 56th St,"THE WESTPORT #2; See Valet Attendant for instructions
THE WESTPORT; See Valet attendant for inistructions",New York,NY,10019,,888-758-4389,E,,Public,24 hours daily,,,,,1,2,,,ChargePoint Network,http://www.chargepoint.com/,200-8,40.768257,-73.989087,01.02.2019,48688,2019-02-01 10:04:02 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,CARCHARGING,450 WEST 42nd St.,"MIMA #2; See Valet attendant
MIMA; See valet attendant for instructions",New York,NY,10036,,888-758-4389,E,,Public,24 hours daily,,,,,1,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,40.759041,-73.994972,01.02.2019,49581,2019-02-01 10:04:02 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,CARCHARGING,215 E 96th St,"CARNEGIE HILL#1; See valet attendant for instructions
CARNEGIE HILL#2; See Valet attendant for instructions.",New York,NY,10128,,888-758-4389,E,,Public,24 hours daily,,,,,1,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,40.78513,-73.947969,01.02.2019,49582,2019-02-01 10:04:02 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,CARCHARGING,214 W 88th St,CENTRAL PKG #1; See Valet Attendant to charge your vehicle,New York,NY,10024,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.7892181,-73.9749593,01.02.2019,50711,2019-02-01 10:04:02 UTC,,,,,,,,,J1772 NEMA520,US,,,,Public,,public,,
ELEC,GLENWOOD MGMT,300 E 56th St,BRISTOL GARAGE,New York,NY,10022,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.7581527,-73.9653023,01.02.2019,51296,2019-02-01 10:04:02 UTC,,,,,,,,,J1772,US,,,,Public,,public,,
